2016 Federal Election Senate Candidates,,,
ACT,The Greens,HOBBS,Christina
ACT,Liberal Democrats,HENNINGS,Cawley
ACT,Christian Democratic Party (Fred Nile Group),KIM,David William
ACT,Animal Justice Party,MONTAGNE,Jessica
ACT,Secular Party of Australia,EDWARDS,David
ACT,Australian Labor Party,GALLAGHER,Katy
ACT,Liberal Democrats,DONNELLY,Matt
ACT,Animal Justice Party,FIELD,Deborah
ACT,Sustainable Australia,TYE,Martin
ACT,Australian Labor Party,SMITH,David
ACT,Rise Up Australia Party,O'CONNOR,Sandie
ACT,Liberal,SESELJA,Zed
ACT,Sustainable Australia,HAYDON,John
ACT,Rise Up Australia Party,WYATT,Jess
ACT,Liberal,HIATT,Jane
ACT,Australian Sex Party,BAILEY,Steven
ACT,VOTEFLUX.ORG | Upgrade Democracy!,HAY,Michael Gerard
ACT,Mature Australia,HANSON,Anthony
ACT,The Greens,WAREHAM,Sue
ACT,Secular Party of Australia,MIHALJEVIC,Denis
ACT,Australian Sex Party,SWAN,Robbie
ACT,Christian Democratic Party (Fred Nile Group),TADROS,Elizabeth
NSW,Democratic Labour Party (DLP),WILLIS,Dawn
NSW,Labor,O'SULLIVAN,Mary
NSW,Independent,SPRUCE-PEET-BOYD,Santa
NSW,Jacqui Lambie Network,CARR,Mitch
NSW,Non-Custodial Parents Party (Equal Parenting),THOMPSON,Andy
NSW,Rise Up Australia Party,TUCKER,Brian Malcolm
NSW,The Greens,RHIANNON,Lee
NSW,Seniors United Party of Australia,EVANS,Gillian
NSW,The Greens,MAIDEN,Kathryn
NSW,Health Australia Party,PATTERSON,Andrew James
NSW,Sustainable Australia,GRAHAM,Greg
NSW,Animal Justice Party,STONER,Lynda
NSW,Australian Sex Party,RAYE,Sue
NSW,Family First,JOBE,Phil
NSW,Labor,CAMERON,Doug
NSW,Palmer United Party,WRIGHTSON,Suellen Marree
NSW,Liberal,FIERRAVANTI-WELLS,Concetta
NSW,Christian Democratic Party (Fred Nile Group),LIONS,Deborah Ann Jane
NSW,The Greens,FERNANDES,Sarah
NSW,Independent,MULLER,Stephen
NSW,Mature Australia,FREARSON,Gregory
NSW,Rise Up Australia Party,NICHOLS,Maree
NSW,Socialist Alliance,BYRNES,Howard
NSW,Australian Progressives,ROSE,Ash
NSW,Labor,DASTYARI,Sam
NSW,Science Party,JANSSON,James
NSW,Nick Xenophon Team,DONA,Anthony
NSW,Independent,GOOLEY,Peter
NSW,Christian Democratic Party (Fred Nile Group),AVASALU,Rhonda
NSW,Christian Democratic Party (Fred Nile Group),KNOX,Charles
NSW,Family First,VINCENT,Sally
NSW,Online Direct Democracy - (Empowering the People!),DER SARKISSIAN,Berge Anthony
NSW,Independent,BROWN,Leonard
NSW,Renewable Energy Party,PERROW,Susan
NSW,Derryn Hinch's Justice Party,STEVENS,Ken
NSW,Seniors United Party of Australia,OSBORNE,Chris
NSW,"Shooters, Fishers and Farmers",JOHNSON,Peter
NSW,Veterans Party,BENNIE,Raymond
NSW,Christian Democratic Party (Fred Nile Group),HALL,Nella
NSW,Independent,LAMBERT,Bryan
NSW,The Arts Party,KELDOULIS,Barry
NSW,Independent,RZETELSKI,Joanna
NSW,Pauline Hanson's One Nation,BURSTON,Brian
NSW,Jacqui Lambie Network,RELPH,Bruce
NSW,Liberal,PAYNE,Marise
NSW,Australian Liberty Alliance,SMITH,Kirralie Jane
NSW,Independent,SMITH,Nigel James
NSW,Independent,TSAY,Richelle Girado
NSW,Liberal,HUGHES,Hollie
NSW,Labor,BANDARA,Jagath
NSW,Independent,MULLER,Peter
NSW,VOTEFLUX.ORG | Upgrade Democracy!,LOPEZ,Steven
NSW,The Nationals,NASH,Fiona
NSW,Socialist Alliance,CANNING,Ken
NSW,"Shooters, Fishers and Farmers",HOUSEMAN,Karl
NSW,Pirate Party Australia,McINTOSH,Darren
NSW,Christian Democratic Party (Fred Nile Group),LEA,Archie
NSW,Christian Democratic Party (Fred Nile Group),BROADBRIDGE,Colin
NSW,Derryn Hinch's Justice Party,WASHBOURNE,Adam
NSW,Labor,HAN,Paul Yi-Wen
NSW,Liberal Democrats,LEYONHJELM,David
NSW,The Nationals,WILLIAMS,John
NSW,Australian Motoring Enthusiast Party,KIRKNESS,Daniel
NSW,Renewable Energy Party,BREEN,Peter
NSW,The Greens,JANARTHANA,Jananie
NSW,Labor,THOMSON,Vivien
NSW,VOTEFLUX.ORG | Upgrade Democracy!,SPATARO,Nathan
NSW,Liberal,MOLAN,Jim
NSW,Citizens Electoral Council,BUTLER,Robert
NSW,Veterans Party,BRADBURY,Mark
NSW,CountryMinded,MORGAN,Methuen
NSW,The Greens,HO,Christina
NSW,Palmer United Party,MARKS,Robert James
NSW,Australian Cyclists Party,COOPER,Jai
NSW,Citizens Electoral Council,LAWLER,Ann
NSW,Palmer United Party,DONNELLY,Cara Melissa
NSW,,POULSEN,Ron
NSW,Socialist Equality Party,COGAN,James
NSW,Australian Motoring Enthusiast Party,BRYDEN,Rob
NSW,Labor,MORIARTY,Tara
NSW,Online Direct Democracy - (Empowering the People!),EMMETT,Arthur John
NSW,Australian Cyclists Party,RALPH,Ingrid
NSW,Australian Progressives,QUARTLY,Allan
NSW,Christian Democratic Party (Fred Nile Group),SMITH,Beth
NSW,Voluntary Euthanasia Party,FARRELL,Janise
NSW,The Greens,KONTELLIS,Marika
NSW,Nick Xenophon Team,DALGLIESH,Aidan
NSW,Liberal,McGAHEY,Victoria
NSW,Sustainable Australia,BOURKE,William
NSW,Science Party,SLAVICH,Eve
NSW,Independent,LIM,Danny
NSW,The Greens,OSBORNE,Michael
NSW,,VAN LIESHOUT,Teresa
NSW,Independent,WARD,Jane
NSW,Pauline Hanson's One Nation,BERNIER,Christine Pamela
NSW,Socialist Equality Party,DAVIS,John
NSW,The Nationals,FANG,Wes
NSW,Mature Australia,QUINN,Paul
NSW,Labor,ZHOU,Shuo
